Patches,Labels
GenProg_patch_Defects4J_Chart_1_0_207,Overfitting
GenProg_patch_Defects4J_Chart_1_0_143,Overfitting
GenProg_patch_Defects4J_Chart_1_0_106,Overfitting
GenProg_patch_Defects4J_Chart_25_0_206,Overfitting
GenProg_patch_Defects4J_Chart_1_0_66,Overfitting
GenProg_patch_Defects4J_Chart_1_0_183,Overfitting
GenProg_patch_Defects4J_Chart_25_0_142,Overfitting
GenProg_patch_Defects4J_Chart_25_0_123,Overfitting
GenProg_patch_Defects4J_Chart_1_0_42,Overfitting
GenProg_patch_Defects4J_Chart_25_0_32,Overfitting
GenProg_patch_Defects4J_Chart_13_0_26,Overfitting
GenProg_patch_Defects4J_Chart_1_0_167,Overfitting
GenProg_patch_Defects4J_Chart_1_0_122,Overfitting
GenProg_patch_Defects4J_Chart_1_0_82,Overfitting
GenProg_patch_Defects4J_Chart_13_0_24,Overfitting
GenProg_patch_Defects4J_Chart_1_0_198,Overfitting
GenProg_patch_Defects4J_Chart_1_0_80,Overfitting
GenProg_patch_Defects4J_Chart_25_0_48,Overfitting
GenProg_patch_Defects4J_Chart_1_0_38,Overfitting
GenProg_patch_Defects4J_Chart_1_0_165,Overfitting
GenProg_patch_Defects4J_Chart_1_0_120,Overfitting
GenProg_patch_Defects4J_Chart_25_0_220,Overfitting
GenProg_patch_Defects4J_Chart_1_0_40,Overfitting
GenProg_patch_Defects4J_Chart_1_0_158,Overfitting
GenProg_patch_Defects4J_Chart_13_0_19,Overfitting
GenProg_patch_Defects4J_Chart_1_0_181,Overfitting
GenProg_patch_Defects4J_Chart_1_0_99,Overfitting
GenProg_patch_Defects4J_Chart_1_0_21,Overfitting
GenProg_patch_Defects4J_Chart_1_0_64,Overfitting
GenProg_patch_Defects4J_Chart_1_0_139,Overfitting
GenProg_patch_Defects4J_Chart_1_0_59,Overfitting
GenProg_patch_Defects4J_Chart_1_0_141,Overfitting
GenProg_patch_Defects4J_Chart_1_0_104,Overfitting
GenProg_patch_Defects4J_Chart_1_0_205,Overfitting
GenProg_patch_Defects4J_Chart_1_0_25,Overfitting
GenProg_patch_Defects4J_Chart_1_0_60,Overfitting
GenProg_patch_Defects4J_Chart_1_0_178,Overfitting
GenProg_patch_Defects4J_Chart_1_0_185,Overfitting
GenProg_patch_Defects4J_Chart_1_0_201,Overfitting
GenProg_patch_Defects4J_Chart_1_0_145,Overfitting
GenProg_patch_Defects4J_Chart_1_0_100,Overfitting
GenProg_patch_Defects4J_Chart_1_0_79,Overfitting
GenProg_patch_Defects4J_Chart_1_0_161,Overfitting
GenProg_patch_Defects4J_Chart_1_0_124,Overfitting
GenProg_patch_Defects4J_Chart_1_0_84,Overfitting
GenProg_patch_Defects4J_Chart_13_0_20,Overfitting
GenProg_patch_Defects4J_Chart_25_0_34,Overfitting
GenProg_patch_Defects4J_Chart_25_0_71,Overfitting
GenProg_patch_Defects4J_Chart_1_0_44,Overfitting
GenProg_patch_Defects4J_Chart_1_0_119,Overfitting
GenProg_patch_Defects4J_Chart_1_0_46,Overfitting
GenProg_patch_Defects4J_Chart_25_0_162,Overfitting
GenProg_patch_Defects4J_Chart_1_0_86,Overfitting
GenProg_patch_Defects4J_Chart_1_0_163,Overfitting
GenProg_patch_Defects4J_Chart_1_0_126,Overfitting
GenProg_patch_Defects4J_Chart_13_0_22,Overfitting
GenProg_patch_Defects4J_Chart_1_0_147,Overfitting
GenProg_patch_Defects4J_Chart_1_0_102,Overfitting
GenProg_patch_Defects4J_Chart_1_0_187,Overfitting
GenProg_patch_Defects4J_Chart_25_0_103,Overfitting
GenProg_patch_Defects4J_Chart_25_0_202,Overfitting
GenProg_patch_Defects4J_Chart_1_0_27,Overfitting
GenProg_patch_Defects4J_Chart_1_0_62,Overfitting
GenProg_patch_Defects4J_Chart_13_0_18,Overfitting
GenProg_patch_Defects4J_Chart_25_0_74,Overfitting
GenProg_patch_Defects4J_Chart_1_0_41,Overfitting
GenProg_patch_Defects4J_Chart_25_0_165,Overfitting
GenProg_patch_Defects4J_Chart_1_0_199,Overfitting
GenProg_patch_Defects4J_Chart_1_0_81,Overfitting
GenProg_patch_Defects4J_Chart_1_0_39,Overfitting
GenProg_patch_Defects4J_Chart_1_0_121,Overfitting
GenProg_patch_Defects4J_Chart_1_0_164,Overfitting
GenProg_patch_Defects4J_Chart_1_0_58,Overfitting
GenProg_patch_Defects4J_Chart_1_0_105,Overfitting
GenProg_patch_Defects4J_Chart_1_0_140,Overfitting
GenProg_patch_Defects4J_Chart_1_0_204,Overfitting
GenProg_patch_Defects4J_Chart_1_0_180,Overfitting
GenProg_patch_Defects4J_Chart_1_0_98,Overfitting
GenProg_patch_Defects4J_Chart_1_0_65,Overfitting
GenProg_patch_Defects4J_Chart_1_0_138,Overfitting
GenProg_patch_Defects4J_Chart_25_0_50,Overfitting
GenProg_patch_Defects4J_Chart_1_0_67,Overfitting
GenProg_patch_Defects4J_Chart_1_0_22,Overfitting
GenProg_patch_Defects4J_Chart_1_0_182,Overfitting
GenProg_patch_Defects4J_Chart_13_0_9,Overfitting
GenProg_patch_Defects4J_Chart_1_0_206,Overfitting
GenProg_patch_Defects4J_Chart_1_0_107,Overfitting
GenProg_patch_Defects4J_Chart_1_0_142,Overfitting
GenProg_patch_Defects4J_Chart_3_0_1,Overfitting
GenProg_patch_Defects4J_Chart_1_0_123,Overfitting
GenProg_patch_Defects4J_Chart_1_0_166,Overfitting
GenProg_patch_Defects4J_Chart_1_0_83,Overfitting
GenProg_patch_Defects4J_Chart_13_0_27,Overfitting
GenProg_patch_Defects4J_Chart_1_0_43,Overfitting
GenProg_patch_Defects4J_Chart_13_0_23,Overfitting
GenProg_patch_Defects4J_Chart_5_0_3,Overfitting
GenProg_patch_Defects4J_Chart_1_0_87,Overfitting
GenProg_patch_Defects4J_Chart_1_0_127,Overfitting
GenProg_patch_Defects4J_Chart_1_0_162,Overfitting
GenProg_patch_Defects4J_Chart_1_0_47,Overfitting
GenProg_patch_Defects4J_Chart_25_0_227,Overfitting
GenProg_patch_Defects4J_Chart_1_0_186,Overfitting
GenProg_patch_Defects4J_Chart_1_0_63,Overfitting
GenProg_patch_Defects4J_Chart_1_0_26,Overfitting
GenProg_patch_Defects4J_Chart_1_0_103,Overfitting
GenProg_patch_Defects4J_Chart_1_0_146,Overfitting
GenProg_patch_Defects4J_Chart_1_0_202,Overfitting
GenProg_patch_Defects4J_Chart_1_0_200,Overfitting
GenProg_patch_Defects4J_Chart_25_0_178,Overfitting
GenProg_patch_Defects4J_Chart_1_0_101,Overfitting
GenProg_patch_Defects4J_Chart_1_0_144,Overfitting
GenProg_patch_Defects4J_Chart_12_0_11,Overfitting
GenProg_patch_Defects4J_Chart_1_0_61,Overfitting
GenProg_patch_Defects4J_Chart_1_0_24,Overfitting
GenProg_patch_Defects4J_Chart_1_0_179,Overfitting
GenProg_patch_Defects4J_Chart_25_0_225,Overfitting
GenProg_patch_Defects4J_Chart_25_0_35,Overfitting
GenProg_patch_Defects4J_Chart_1_0_118,Overfitting
GenProg_patch_Defects4J_Chart_5_0_1,Overfitting
GenProg_patch_Defects4J_Chart_13_0_21,Overfitting
GenProg_patch_Defects4J_Chart_1_0_78,Overfitting
GenProg_patch_Defects4J_Chart_1_0_125,Overfitting
GenProg_patch_Defects4J_Chart_1_0_160,Overfitting
GenProg_patch_Defects4J_Chart_1_0_85,Overfitting
Kali_patch_Defects4J_Chart_25_0_1,Overfitting
Kali_patch_Defects4J_Chart_1_0_1,Overfitting
Kali_patch_Defects4J_Chart_15_0_1,Overfitting
Arja_patch_Defects4J_Chart_1_0_37,Overfitting
Arja_patch_Defects4J_Chart_1_0_72,Overfitting
Arja_patch_Defects4J_Chart_15_0_111,Overfitting
Arja_patch_Defects4J_Chart_25_0_244,Overfitting
Arja_patch_Defects4J_Chart_15_0_41,Overfitting
Arja_patch_Defects4J_Chart_25_0_100,Overfitting
Arja_patch_Defects4J_Chart_13_0_112,Overfitting
Arja_patch_Defects4J_Chart_25_0_145,Overfitting
Arja_patch_Defects4J_Chart_13_0_157,Overfitting
Arja_patch_Defects4J_Chart_15_0_210,Overfitting
Arja_patch_Defects4J_Chart_25_0_62,Overfitting
Arja_patch_Defects4J_Chart_25_0_27,Overfitting
Arja_patch_Defects4J_Chart_15_0_348,Overfitting
Arja_patch_Defects4J_Chart_3_0_34,Overfitting
Arja_patch_Defects4J_Chart_19_0_2,Overfitting
Arja_patch_Defects4J_Chart_25_0_321,Overfitting
Arja_patch_Defects4J_Chart_14_0_10,Overfitting
Arja_patch_Defects4J_Chart_15_0_330,Overfitting
Arja_patch_Defects4J_Chart_15_0_375,Overfitting
Arja_patch_Defects4J_Chart_13_0_76,Overfitting
Arja_patch_Defects4J_Chart_13_0_33,Overfitting
Arja_patch_Defects4J_Chart_1_0_137,Overfitting
Arja_patch_Defects4J_Chart_1_0_172,Overfitting
Arja_patch_Defects4J_Chart_25_0_178,Overfitting
Arja_patch_Defects4J_Chart_15_0_268,Overfitting
Arja_patch_Defects4J_Chart_15_0_194,Overfitting
Arja_patch_Defects4J_Chart_25_0_284,Overfitting
Arja_patch_Defects4J_Chart_3_0_4,Overfitting
Arja_patch_Defects4J_Chart_25_0_279,Overfitting
Arja_patch_Defects4J_Chart_15_0_169,Overfitting
Arja_patch_Defects4J_Chart_15_0_295,Overfitting
Arja_patch_Defects4J_Chart_25_0_185,Overfitting
Arja_patch_Defects4J_Chart_15_0_351,Overfitting
Arja_patch_Defects4J_Chart_13_0_52,Overfitting
Arja_patch_Defects4J_Chart_13_0_17,Overfitting
Arja_patch_Defects4J_Chart_7_0_24,Overfitting
Arja_patch_Defects4J_Chart_12_0_86,Overfitting
Arja_patch_Defects4J_Chart_25_0_86,Overfitting
Arja_patch_Defects4J_Chart_15_0_108,Overfitting
Arja_patch_Defects4J_Chart_12_0_120,Overfitting
Arja_patch_Defects4J_Chart_1_0_96,Overfitting
Arja_patch_Defects4J_Chart_1_0_113,Overfitting
Arja_patch_Defects4J_Chart_1_0_156,Overfitting
Arja_patch_Defects4J_Chart_15_0_209,Overfitting
Arja_patch_Defects4J_Chart_15_0_65,Overfitting
Arja_patch_Defects4J_Chart_25_0_124,Overfitting
Arja_patch_Defects4J_Chart_13_0_136,Overfitting
Arja_patch_Defects4J_Chart_15_0_271,Overfitting
Arja_patch_Defects4J_Chart_25_0_161,Overfitting
Arja_patch_Defects4J_Chart_15_0_234,Overfitting
Arja_patch_Defects4J_Chart_15_0_98,Overfitting
Arja_patch_Defects4J_Chart_15_0_170,Overfitting
Arja_patch_Defects4J_Chart_25_0_225,Overfitting
Arja_patch_Defects4J_Chart_15_0_135,Overfitting
Arja_patch_Defects4J_Chart_13_0_92,Overfitting
Arja_patch_Defects4J_Chart_7_0_9,Overfitting
Arja_patch_Defects4J_Chart_19_0_12,Overfitting
Arja_patch_Defects4J_Chart_3_0_10,Overfitting
Arja_patch_Defects4J_Chart_3_0_55,Overfitting
Arja_patch_Defects4J_Chart_7_0_19,Overfitting
Arja_patch_Defects4J_Chart_15_0_329,Overfitting
Arja_patch_Defects4J_Chart_1_0_54,Overfitting
Arja_patch_Defects4J_Chart_25_0_227,Overfitting
Arja_patch_Defects4J_Chart_25_0_262,Overfitting
Arja_patch_Defects4J_Chart_1_0_194,Overfitting
Arja_patch_Defects4J_Chart_1_0_169,Overfitting
Arja_patch_Defects4J_Chart_15_0_22,Overfitting
Arja_patch_Defects4J_Chart_13_0_134,Overfitting
Arja_patch_Defects4J_Chart_25_0_163,Overfitting
Arja_patch_Defects4J_Chart_13_0_171,Overfitting
Arja_patch_Defects4J_Chart_15_0_236,Overfitting
Arja_patch_Defects4J_Chart_25_0_44,Overfitting
Arja_patch_Defects4J_Chart_14_0_2,Overfitting
Arja_patch_Defects4J_Chart_13_0_28,Overfitting
Arja_patch_Defects4J_Chart_19_0_10,Overfitting
Arja_patch_Defects4J_Chart_3_0_12,Overfitting
Arja_patch_Defects4J_Chart_3_0_57,Overfitting
Arja_patch_Defects4J_Chart_25_0_307,Overfitting
Arja_patch_Defects4J_Chart_7_0_26,Overfitting
Arja_patch_Defects4J_Chart_15_0_316,Overfitting
Arja_patch_Defects4J_Chart_15_0_353,Overfitting
Arja_patch_Defects4J_Chart_13_0_50,Overfitting
Arja_patch_Defects4J_Chart_1_0_111,Overfitting
Arja_patch_Defects4J_Chart_1_0_154,Overfitting
Arja_patch_Defects4J_Chart_12_0_79,Overfitting
Arja_patch_Defects4J_Chart_13_0_109,Overfitting
Arja_patch_Defects4J_Chart_25_0_79,Overfitting
Arja_patch_Defects4J_Chart_1_0_69,Overfitting
Arja_patch_Defects4J_Chart_25_0_84,Overfitting
Arja_patch_Defects4J_Chart_14_0_12,Overfitting
Arja_patch_Defects4J_Chart_15_0_332,Overfitting
Arja_patch_Defects4J_Chart_15_0_377,Overfitting
Arja_patch_Defects4J_Chart_13_0_74,Overfitting
Arja_patch_Defects4J_Chart_13_0_31,Overfitting
Arja_patch_Defects4J_Chart_13_0_89,Overfitting
Arja_patch_Defects4J_Chart_25_0_323,Overfitting
Arja_patch_Defects4J_Chart_15_0_297,Overfitting
Arja_patch_Defects4J_Chart_15_0_83,Overfitting
Arja_patch_Defects4J_Chart_3_0_6,Overfitting
Arja_patch_Defects4J_Chart_15_0_196,Overfitting
Arja_patch_Defects4J_Chart_25_0_286,Overfitting
Arja_patch_Defects4J_Chart_1_0_135,Overfitting
Arja_patch_Defects4J_Chart_1_0_170,Overfitting
Arja_patch_Defects4J_Chart_13_0_168,Overfitting
Arja_patch_Defects4J_Chart_25_0_25,Overfitting
Arja_patch_Defects4J_Chart_15_0_43,Overfitting
Arja_patch_Defects4J_Chart_1_0_108,Overfitting
Arja_patch_Defects4J_Chart_25_0_102,Overfitting
Arja_patch_Defects4J_Chart_12_0_25,Overfitting
Arja_patch_Defects4J_Chart_13_0_110,Overfitting
Arja_patch_Defects4J_Chart_15_0_257,Overfitting
Arja_patch_Defects4J_Chart_25_0_147,Overfitting
Arja_patch_Defects4J_Chart_13_0_155,Overfitting
Arja_patch_Defects4J_Chart_15_0_212,Overfitting
Arja_patch_Defects4J_Chart_1_0_35,Overfitting
Arja_patch_Defects4J_Chart_1_0_209,Overfitting
Arja_patch_Defects4J_Chart_1_0_70,Overfitting
Arja_patch_Defects4J_Chart_15_0_156,Overfitting
Arja_patch_Defects4J_Chart_25_0_203,Overfitting
Arja_patch_Defects4J_Chart_15_0_113,Overfitting
Arja_patch_Defects4J_Chart_25_0_246,Overfitting
Arja_patch_Defects4J_Chart_3_0_36,Overfitting
Arja_patch_Defects4J_Chart_13_0_49,Overfitting
Arja_patch_Defects4J_Chart_15_0_192,Overfitting
Arja_patch_Defects4J_Chart_25_0_59,Overfitting
Arja_patch_Defects4J_Chart_1_0_131,Overfitting
Arja_patch_Defects4J_Chart_1_0_174,Overfitting
Arja_patch_Defects4J_Chart_13_0_129,Overfitting
Arja_patch_Defects4J_Chart_15_0_293,Overfitting
Arja_patch_Defects4J_Chart_25_0_183,Overfitting
Arja_patch_Defects4J_Chart_15_0_87,Overfitting
Arja_patch_Defects4J_Chart_1_0_189,Overfitting
Arja_patch_Defects4J_Chart_3_0_2,Overfitting
Arja_patch_Defects4J_Chart_1_0_49,Overfitting
Arja_patch_Defects4J_Chart_13_0_70,Overfitting
Arja_patch_Defects4J_Chart_13_0_35,Overfitting
Arja_patch_Defects4J_Chart_19_0_4,Overfitting
Arja_patch_Defects4J_Chart_19_0_30,Overfitting
Arja_patch_Defects4J_Chart_12_0_99,Overfitting
Arja_patch_Defects4J_Chart_1_0_31,Overfitting
Arja_patch_Defects4J_Chart_1_0_74,Overfitting
Arja_patch_Defects4J_Chart_15_0_152,Overfitting
Arja_patch_Defects4J_Chart_25_0_207,Overfitting
Arja_patch_Defects4J_Chart_25_0_99,Overfitting
Arja_patch_Defects4J_Chart_25_0_242,Overfitting
Arja_patch_Defects4J_Chart_25_0_21,Overfitting
Arja_patch_Defects4J_Chart_1_0_89,Overfitting
Arja_patch_Defects4J_Chart_15_0_47,Overfitting
Arja_patch_Defects4J_Chart_1_0_149,Overfitting
Arja_patch_Defects4J_Chart_25_0_106,Overfitting
Arja_patch_Defects4J_Chart_13_0_114,Overfitting
Arja_patch_Defects4J_Chart_15_0_253,Overfitting
Arja_patch_Defects4J_Chart_25_0_143,Overfitting
Arja_patch_Defects4J_Chart_13_0_151,Overfitting
Arja_patch_Defects4J_Chart_15_0_216,Overfitting
Arja_patch_Defects4J_Chart_19_0_14,Overfitting
Arja_patch_Defects4J_Chart_3_0_16,Overfitting
Arja_patch_Defects4J_Chart_3_0_53,Overfitting
Arja_patch_Defects4J_Chart_13_0_94,Overfitting
Arja_patch_Defects4J_Chart_14_0_6,Overfitting
Arja_patch_Defects4J_Chart_13_0_69,Overfitting
Arja_patch_Defects4J_Chart_15_0_63,Overfitting
Arja_patch_Defects4J_Chart_1_0_128,Overfitting
Arja_patch_Defects4J_Chart_13_0_130,Overfitting
Arja_patch_Defects4J_Chart_15_0_277,Overfitting
Arja_patch_Defects4J_Chart_12_0_40,Overfitting
Arja_patch_Defects4J_Chart_25_0_167,Overfitting
Arja_patch_Defects4J_Chart_1_0_50,Overfitting
Arja_patch_Defects4J_Chart_15_0_176,Overfitting
Arja_patch_Defects4J_Chart_25_0_223,Overfitting
Arja_patch_Defects4J_Chart_15_0_133,Overfitting
Arja_patch_Defects4J_Chart_25_0_266,Overfitting
Arja_patch_Defects4J_Chart_1_0_190,Overfitting
Arja_patch_Defects4J_Chart_1_0_28,Overfitting
Arja_patch_Defects4J_Chart_25_0_80,Overfitting
Arja_patch_Defects4J_Chart_12_0_80,Overfitting
Arja_patch_Defects4J_Chart_1_0_115,Overfitting
Arja_patch_Defects4J_Chart_1_0_150,Overfitting
Arja_patch_Defects4J_Chart_13_0_148,Overfitting
Arja_patch_Defects4J_Chart_25_0_38,Overfitting
Arja_patch_Defects4J_Chart_15_0_312,Overfitting
Arja_patch_Defects4J_Chart_15_0_357,Overfitting
Arja_patch_Defects4J_Chart_13_0_54,Overfitting
Arja_patch_Defects4J_Chart_19_0_29,Overfitting
Arja_patch_Defects4J_Chart_25_0_303,Overfitting
Arja_patch_Defects4J_Chart_7_0_22,Overfitting
Arja_patch_Defects4J_Chart_1_0_92,Overfitting
Arja_patch_Defects4J_Chart_1_0_117,Overfitting
Arja_patch_Defects4J_Chart_1_0_152,Overfitting
Arja_patch_Defects4J_Chart_25_0_158,Overfitting
Arja_patch_Defects4J_Chart_15_0_248,Overfitting
Arja_patch_Defects4J_Chart_25_0_259,Overfitting
Arja_patch_Defects4J_Chart_25_0_82,Overfitting
Arja_patch_Defects4J_Chart_15_0_149,Overfitting
Arja_patch_Defects4J_Chart_25_0_301,Overfitting
Arja_patch_Defects4J_Chart_7_0_20,Overfitting
Arja_patch_Defects4J_Chart_3_0_29,Overfitting
Arja_patch_Defects4J_Chart_15_0_310,Overfitting
Arja_patch_Defects4J_Chart_15_0_355,Overfitting
Arja_patch_Defects4J_Chart_13_0_56,Overfitting
Arja_patch_Defects4J_Chart_14_0_4,Overfitting
Arja_patch_Defects4J_Chart_13_0_96,Overfitting
Arja_patch_Defects4J_Chart_19_0_16,Overfitting
Arja_patch_Defects4J_Chart_3_0_14,Overfitting
Arja_patch_Defects4J_Chart_25_0_198,Overfitting
Arja_patch_Defects4J_Chart_15_0_288,Overfitting
Arja_patch_Defects4J_Chart_1_0_192,Overfitting
Arja_patch_Defects4J_Chart_1_0_52,Overfitting
Arja_patch_Defects4J_Chart_15_0_174,Overfitting
Arja_patch_Defects4J_Chart_25_0_221,Overfitting
Arja_patch_Defects4J_Chart_25_0_264,Overfitting
Arja_patch_Defects4J_Chart_25_0_42,Overfitting
Arja_patch_Defects4J_Chart_25_0_299,Overfitting
Arja_patch_Defects4J_Chart_15_0_189,Overfitting
Arja_patch_Defects4J_Chart_15_0_61,Overfitting
Arja_patch_Defects4J_Chart_13_0_132,Overfitting
Arja_patch_Defects4J_Chart_15_0_275,Overfitting
Arja_patch_Defects4J_Chart_25_0_165,Overfitting
