tool,project,id,mutant-id,line_in_buggy,line_in_patched,structural_score,conceptual_score,sum,correct
Arja,Chart,1,0,[1797],[1797],[0.425],[0.415],0.84,False
TBar,Chart,13,0,[87],[87],[0.733],[0.769],1.502,False
kPAR,Lang,51,0,[672],[672],[0.667],[0.833],1.5,False
GenProg,Math,2,0,"[157, 138]","[157, 138]","[0.8, 0.48]","[0.667, 0.706]",1.326,False
Jaid,Math,80,2,[1136],[1136],[0.868],[0.862],1.73,True
CapGen,Lang,59,1,[884],[884],[1.0],[0.919],1.919,True
SequenceR,Closure,92,9,[789],[789],[1.0],[0.636],1.636,False
SketchFix,Chart,9,1,[944],[944],[0.565],[0.72],1.285,True
Cardumen,Closure,62,0,[97],[97],[0.605],[0.679],1.284,False
TBar,Math,88,0,[338],[338],[0.783],[0.971],1.754,False
kPAR,Math,82,0,[62],[62],[1.0],[0.93],1.93,False
SOFix,Chart,24,1,[126],[126],[0.733],[0.966],1.699,True
CapGen,Math,5,2,[345],[345],[0.303],[0.591],0.894,False
SequenceR,Closure,38,2,[245],[245],[0.357],[0.818],1.175,False
AVATAR,Lang,7,0,"[452, 721]","[452, 718]","[0.462, 0.476]","[0.622, 0.548]",1.054,True
Jaid,Chart,1,1,[1798],[1798],[0.583],[0.647],1.23,False
Jaid,Math,50,3,[188],[188],[0.122],[0.083],0.205,False
Jaid,Lang,51,2,[677],[677],[0.554],[0.6],1.154,False
Kali,Closure,15,0,[370],[370],[0.7],[0.708],1.408,False
FixMiner,Math,57,0,[175],[175],[1.0],[0.946],1.946,True
FixMiner,Chart,15,0,[280],[280],[0.7],[0.647],1.347,False
Jaid,Math,53,2,[153],[153],[0.273],[0.5],0.773,False
ACS,Math,93,0,"[28, 377]","[28, 384]","[0.053, 0.575]","[0.25, 0.833]",0.855,False
CapGen,Lang,59,7,[879],[879],[0.783],[0.826],1.609,False
jGenProg,Chart,3,0,[564],[564],[0.9],[0.632],1.532,False
kPAR,Lang,10,0,[307],[307],[0.769],[0.885],1.654,False
Jaid,Math,80,1,[1136],[1136],[0.0],[0.0],0.0,True
TBar,Math,84,0,[90],[90],[1.0],[0.941],1.941,False
FixMiner,Chart,13,0,[444],[444],[0.717],[0.742],1.459,False
RSRepair,Closure,127,0,[1457],[1457],[0.846],[0.857],1.703,False
Nopol,Math,2,0,[137],[137],[0.607],[0.526],1.133,False
RSRepair,Closure,130,0,[179],[179],[0.711],[0.581],1.292,False
SequenceR,Math,85,3,[198],[198],[0.6],[0.882],1.482,False
SequenceR,Closure,38,3,[245],[245],[0.357],[0.9],1.257,False
Arja,Math,56,0,[240],[240],[0.5],[0.688],1.188,False
AVATAR,Chart,19,0,"[698, 973]","[698, 976]","[0.579, 0.632]","[0.552, 0.586]",1.174,True
SequenceR,Closure,93,6,[789],[789],[1.0],[0.636],1.636,False
Kali,Closure,112,0,[1147],[1147],[0.788],[0.886],1.674,False
Jaid,Chart,26,1,[1190],[1190],[0.568],[0.771],1.339,True
Jaid,Lang,33,1,[910],[910],[0.646],[0.696],1.342,True
jGenProg,Math,84,0,[95],[95],[0.714],[0.5],1.214,False
Kali,Closure,131,0,[1446],[1446],[0.714],[0.75],1.464,False
SequenceR,Closure,86,4,[2465],[2465],[0.444],[0.619],1.063,False
jMutRepair,Lang,22,0,[584],[584],[1.0],[1.0],2.0,False
kPAR,Chart,14,0,[2293],[2293],[0.444],[0.5],0.944,False
SequenceR,Closure,92,1,[789],[789],[0.571],[0.727],1.298,False
AVATAR,Math,4,0,"[118, 114]","[118, 114]","[0.583, 0.643]","[0.5, 0.538]",1.132,True
Kali,Math,32,0,[136],[136],[0.719],[0.792],1.511,False
Arja,Math,84,0,[90],[90],[0.375],[0.667],1.042,False
Jaid,Math,82,2,[86],[86],[0.556],[0.727],1.283,False
Arja,Math,80,0,"[1062, 1106, 1137]","[1062, 1106, 1137]","[0.444, 0.846, 0.255]","[0.464, 1.0, 0.226]",1.078,False
Kali,Chart,25,0,[110],[110],[0.818],[0.889],1.707,False
kPAR,Lang,44,0,[194],[194],[0.8],[0.778],1.578,False
kPAR,Math,49,0,[132],[132],[1.0],[0.931],1.931,False
SimFix,Math,73,0,[135],[135],[0.708],[0.75],1.458,False
SequenceR,Math,85,5,[198],[198],[0.556],[0.886],1.442,False
Jaid,Chart,1,2,[1797],[1797],[0.556],[0.733],1.289,False
jGenProg,Math,60,0,[186],[186],[0.8],[0.7],1.5,False
Jaid,Math,80,1,[1136],[1136],[0.525],[0.613],1.138,False
Arja,Closure,120,0,[84],[84],[0.535],[0.641],1.176,False
CapGen,Math,63,8,[417],[417],[0.571],[0.609],1.18,False
SequenceR,Math,85,13,[198],[198],[0.429],[0.889],1.318,False
CapGen,Lang,59,8,[880],[880],[0.783],[0.891],1.674,False
SketchFix,Math,33,1,"[99, 108]","[99, 109]","[0.805, 0.846]","[0.816, 0.727]",1.597,False
Arja,Lang,7,0,"[453, 141, 277]","[453, 141, 277]","[0.844, 1.0, 0.667]","[0.854, 0.849, 0.702]",1.639,False
Kali,Closure,124,0,[214],[214],[0.481],[0.519],1.0,False
SequenceR,Math,85,12,[198],[198],[0.417],[0.789],1.206,False
jMutRepair,Chart,7,0,[285],[285],[1.0],[0.889],1.889,False
Cardumen,Chart,6,0,[81],[81],[0.417],[0.55],0.967,False
Arja,Math,95,0,"[100, 148]","[100, 149]","[0.714, 0.8]","[0.65, 0.75]",1.457,False
SequenceR,Chart,1,1,[1797],[1797],[0.704],[1.0],1.704,True
RSRepair,Closure,120,0,[185],[185],[0.677],[0.706],1.383,False
SOFix,Math,2,1,[],[],[1],[1],2.0,True
Nopol,Math,78,0,[282],[282],[0.0],[0.0],0.0,False
SequenceR,Closure,73,1,[1045],[1045],[0.182],[0.25],0.432,False
SimFix,Lang,50,0,[475],[475],[0.226],[0.216],0.442,False
RSRepair,Lang,7,0,[453],[453],[0.884],[0.878],1.762,False
SOFix,Math,58,1,[],[],[1],[1],2.0,True
Nopol,Math,42,0,[347],[347],[0.583],[0.659],1.242,False
SimFix,Lang,1,0,[468],[468],[0.737],[0.483],1.22,False
Nopol,Lang,44,0,"[193, 204]","[193, 205]","[0.184, 0.833]","[0.448, 0.905]",1.185,False
TBar,Chart,15,0,[212],[212],[0],[0],0.0,False
CapGen,Lang,59,4,[884],[884],[0.767],[0.75],1.517,False
Nopol,Math,87,0,[161],[161],[0.432],[0.545],0.977,False
GenProg,Closure,59,0,[42],[42],[0.714],[0.562],1.276,False
Jaid,Closure,18,1,[1288],[1288],[0.579],[0.81],1.389,True
GenProg,Chart,13,0,"[298, 436]","[298, 437]","[0.844, 0.228]","[0.815, 0.222]",1.054,False
SequenceR,Closure,93,1,[789],[789],[0.571],[0.727],1.298,False
CapGen,Math,80,10,[1139],[1139],[0.808],[0.963],1.771,False
CapGen,Math,53,2,[152],[152],[0.422],[0.7],1.122,True
AVATAR,Lang,13,0,[254],[254],[0],[0],0.0,False
Jaid,Math,32,1,[136],[136],[0.644],[0.767],1.411,True
TBar,Math,63,0,[530],[530],[0.771],[0.882],1.653,False
Arja,Closure,68,0,[887],[887],[0.316],[0.407],0.723,False
ACS,Math,89,0,[110],[110],[0.394],[0.55],0.944,True
kPAR,Math,63,0,[417],[417],[0.357],[0.533],0.89,False
SequenceR,Closure,93,10,[789],[789],[0.467],[0.727],1.194,False
SOFix,Chart,26,1,[1192],[1192],[0.677],[0.692],1.369,True
Nopol,Math,33,0,[339],[339],[0.625],[0.673],1.298,False
Kali,Closure,119,0,[158],[158],[0.897],[0.862],1.759,False
jKali,Math,32,0,[136],[136],[0.719],[0.792],1.511,False
RSRepair,Chart,13,0,"[87, 307]","[87, 307]","[0.733, 0.778]","[0.69, 0.826]",1.514,False
AVATAR,Lang,51,0,[677],[677],[0.725],[0.706],1.431,False
SequenceR,Math,82,1,[82],[82],[0.853],[0.98],1.833,True
DynaMoth,Lang,63,0,[438],[438],[0.81],[0.793],1.603,False
jGenProg,Math,5,0,"[305, 338, 361, 395, 408, 436]","[305, 321, 329, 349, 359, 384]","[0.846, 0.0, 0.0, 0.2, 0.2, 0.0]","[0.6, 0.0, 0.0, 0.0, 0.0, 0.031]",0.313,True
CapGen,Lang,59,6,[881],[881],[0.783],[0.83],1.613,False
jMutRepair,Math,85,0,[198],[198],[1.0],[0.912],1.912,True
CapGen,Math,58,1,[121],[121],[0.667],[0.727],1.394,True
FixMiner,Math,85,0,[199],[199],[0.0],[0.022],0.022,False
Nopol,Math,80,0,[1137],[1137],[0.719],[0.658],1.377,False
CapGen,Math,63,1,[417],[417],[0.283],[0.333],0.616,False
FixMiner,Chart,17,0,[879],[879],[0.4],[0.793],1.193,False
FixMiner,Math,80,0,[840],[840],[1.0],[0.2],1.2,False
Cardumen,Math,70,0,[72],[72],[0.826],[1.0],1.826,True
GenProg,Closure,10,0,"[251, 809]","[251, 809]","[0.65, 0.667]","[0.739, 0.621]",1.338,False
SimFix,Closure,14,0,[767],[767],[1.0],[0.867],1.867,False
Jaid,Lang,38,4,[872],[872],[0.5],[0.595],1.095,True
SimFix,Lang,45,0,[622],[622],[0.548],[0.913],1.461,False
Nopol,Math,69,0,"[189, 197]","[189, 198]","[0.623, 0.846]","[0.736, 0.909]",1.557,False
SimFix,Lang,60,0,[1673],[1673],[0.688],[0.586],1.274,False
SimFix,Closure,115,0,[730],[730],[0.591],[0.6],1.191,True
jMutRepair,Math,84,0,[90],[90],[1.0],[0.941],1.941,False
ACS,Chart,14,0,"[2293, 2529, 2166, 2448]","[2293, 2532, 2166, 2451]","[0.444, 0.444, 0.444, 0.444]","[0.5, 0.5, 0.5, 0.5]",0.944,True
kPAR,Lang,58,0,[452],[452],[0.278],[0.615],0.893,False
TBar,Lang,45,0,[622],[622],[0.529],[0.84],1.369,False
TBar,Closure,115,0,[730],[730],[0.452],[0.636],1.088,False
FixMiner,Chart,25,0,[109],[109],[0.639],[0.854],1.493,False
RSRepair,Closure,78,0,[54],[54],[0.767],[0.696],1.463,False
TBar,Math,65,0,[258],[258],[1.0],[1.0],2.0,True
Jaid,Lang,51,1,[677],[677],[0.493],[0.516],1.009,False
FixMiner,Math,75,0,[303],[303],[1.0],[0.923],1.923,True
ACS,Math,3,0,[846],[846],[0.472],[0.879],1.351,True
Kali,Closure,72,0,[1424],[1424],[0.714],[0.75],1.464,False
Jaid,Chart,9,2,[944],[944],[0.448],[0.704],1.152,True
kPAR,Math,75,0,[303],[303],[1.0],[0.923],1.923,True
SketchFix,Math,82,2,[84],[84],[0.778],[0.939],1.717,False
SimFix,Closure,68,0,[1760],[1760],[0.529],[0.467],0.996,True
Jaid,Math,53,3,[153],[153],[0.235],[0.5],0.735,False
DynaMoth,Math,80,0,"[1136, 1144]","[1136, 1145]","[0.958, 0.714]","[0.893, 0.625]",1.595,False
ACS,Chart,19,0,"[698, 981]","[698, 981]","[0.462, 0.391]","[0.696, 0.588]",1.068,True
ACS,Math,61,0,"[17, 94]","[17, 94]","[0.667, 0.688]","[0.706, 0.778]",1.42,True
TBar,Math,8,0,[189],[189],[1.0],[1.0],2.0,False
AVATAR,Math,50,0,[188],[188],[1.0],[1.0],2.0,False
Kali,Closure,68,0,[885],[885],[0.25],[0.167],0.417,False
SequenceR,Closure,18,4,[1288],[1288],[0.29],[0.783],1.073,False
Nopol,Chart,25,0,"[207, 216]","[207, 217]","[0.742, 0.696]","[0.816, 0.739]",1.496,False
jMutRepair,Lang,27,0,[488],[488],[1.0],[1.0],2.0,False
Kali,Chart,12,0,[160],[160],[0.875],[0.885],1.76,False
RSRepair,Chart,12,0,[155],[155],[0.514],[0.469],0.983,False
CapGen,Math,85,1,[198],[198],[1.0],[0.886],1.886,False
Nopol,Chart,17,0,[880],[880],[0.212],[0.558],0.77,False
Nopol,Lang,53,0,[664],[664],[0.438],[0.56],0.998,False
RSRepair,Closure,112,0,[1119],[1119],[0.417],[0.618],1.035,False
CapGen,Lang,57,3,[223],[223],[0.455],[0.619],1.074,True
SketchFix,Math,70,1,"[72, 91]","[72, 91]","[0.826, 0.75]","[1.0, 0.958]",1.767,False
kPAR,Lang,21,0,[265],[265],[0.91],[0.94],1.85,False
CapGen,Math,85,3,[198],[198],[0.429],[0.842],1.271,False
GenProg,Math,82,0,[63],[63],[0.843],[0.795],1.638,False
SequenceR,Closure,18,5,[1288],[1288],[0.31],[0.773],1.083,False
Jaid,Math,82,4,[85],[85],[0.656],[0.677],1.333,False
AVATAR,Lang,27,0,[488],[488],[1.0],[1.0],2.0,False
jGenProg,Closure,22,0,[112],[112],[0.175],[0.176],0.351,False
jMutRepair,Closure,22,0,[114],[114],[1.0],[1.0],2.0,False
GenProg,Chart,1,0,"[1798, 1045, 1352]","[1798, 1045, 1353]","[0.806, 0.667, 0.926]","[0.711, 0.686, 0.844]",1.547,False
CapGen,Math,80,6,[1139],[1139],[1.0],[0.926],1.926,False
SequenceR,Closure,92,3,[789],[789],[1.0],[0.636],1.636,False
Kali,Closure,8,0,[1440],[1440],[0.714],[0.75],1.464,False
CapGen,Math,63,1,[417],[417],[0.25],[0.333],0.583,True
SequenceR,Closure,93,5,[789],[789],[1.0],[0.636],1.636,False
Jaid,Math,32,1,[136],[136],[0.644],[0.767],1.411,False
DynaMoth,Math,49,0,[666],[666],[0.548],[0.615],1.163,False
Jaid,Math,50,1,[187],[187],[0.25],[0.0],0.25,False
SketchFix,Chart,1,2,[1798],[1798],[0.778],[0.656],1.434,False
TBar,Math,75,0,[303],[303],[1.0],[0.923],1.923,True
Arja,Closure,8,0,"[117, 210]","[117, 209]","[0.769, 0.278]","[0.583, 0.25]",0.94,False
TBar,Lang,60,0,[1114],[1114],[0.688],[0.929],1.617,False
SimFix,Math,43,0,[577],[577],[0.818],[0.8],1.618,False
RSRepair,Closure,31,0,[1459],[1459],[0.846],[0.857],1.703,False
CapGen,Chart,24,1,[126],[126],[1.0],[0.933],1.933,True
FixMiner,Chart,4,0,"[4493, 4503]","[4493, 4504]","[0.619, 0.6]","[0.647, 0.583]",1.224,True
kPAR,Math,70,0,[72],[72],[0.826],[1.0],1.826,True
GenProg,Closure,78,0,[54],[54],[0.742],[0.654],1.396,False
DynaMoth,Math,8,0,[189],[189],[0.961],[0.929],1.89,False
TBar,Math,62,0,[162],[162],[1.0],[0.938],1.938,False
Kali,Closure,114,0,[1459],[1459],[0.714],[0.75],1.464,False
Kali,Closure,1,0,[396],[396],[0.771],[0.872],1.643,False
SimFix,Closure,57,0,[197],[197],[0.611],[0.818],1.429,False
jGenProg,Chart,13,0,"[151, 182, 252, 275, 337, 422]","[151, 162, 173, 185, 198, 209]","[0.5, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.571, 0.0, 0.0, 0.0, 0.0, 0.0]",0.178,False
DynaMoth,Math,71,0,[150],[150],[0.905],[0.914],1.819,False
SequenceR,Math,85,1,[198],[198],[0.556],[0.912],1.468,True
jMutRepair,Chart,26,0,[2538],[2538],[0.7],[0.8],1.5,False
Nopol,Math,105,0,[107],[107],[0.24],[0.45],0.69,False
SimFix,Math,57,0,[175],[175],[1.0],[0.946],1.946,True
SimFix,Chart,22,0,[345],[345],[0.435],[0.581],1.016,False
SketchFix,Chart,24,1,[126],[126],[1.0],[0.933],1.933,True
SequenceR,Closure,92,2,[789],[789],[1.0],[0.636],1.636,False
Arja,Math,50,0,"[371, 186]","[371, 186]","[0.233, 0.25]","[0.5, 0.3]",0.642,False
Jaid,Chart,26,3,[1192],[1192],[0.351],[0.45],0.801,True
Jaid,Math,53,1,[152],[152],[0.355],[0.515],0.87,False
SequenceR,Math,80,1,[1135],[1135],[0.793],[0.897],1.69,False
CapGen,Math,63,3,[417],[417],[0.355],[0.471],0.826,False
ACS,Math,85,0,[198],[198],[0.514],[0.78],1.294,True
Nopol,Lang,55,0,[118],[118],[0.513],[0.683],1.196,False
RSRepair,Lang,13,0,[99],[99],[0.684],[0.632],1.316,False
CapGen,Math,80,7,[1135],[1135],[0.797],[0.818],1.615,False
TBar,Lang,47,0,[1186],[1186],[0.592],[0.707],1.299,True
SketchFix,Chart,1,1,[1797],[1797],[0.714],[0.71],1.424,False
RSRepair,Chart,25,0,"[254, 110]","[254, 110]","[0.462, 0.609]","[0.211, 0.679]",0.98,False
SequenceR,Math,85,8,[198],[198],[0.455],[0.97],1.425,False
TBar,Math,50,0,[188],[188],[1.0],[1.0],2.0,False
SimFix,Chart,25,0,[211],[211],[0.97],[0.923],1.893,False
ACS,Math,99,0,"[543, 714]","[543, 714]","[0.536, 0.579]","[0.611, 0.682]",1.204,True
CapGen,Lang,59,9,[880],[880],[0.783],[0.891],1.674,False
SketchFix,Lang,6,1,[95],[95],[0.742],[0.889],1.631,False
Arja,Closure,130,0,[179],[179],[0.711],[0.581],1.292,False
Jaid,Lang,55,1,[118],[118],[0.5],[0.639],1.139,False
AVATAR,Chart,24,0,[126],[126],[1.0],[0.933],1.933,True
jKali,Chart,13,0,[444],[444],[0.854],[0.8],1.654,False
FixMiner,Math,50,0,[188],[188],[1.0],[0.9],1.9,False
ACS,Lang,24,0,[1412],[1412],[0.619],[0.76],1.379,True
SimFix,Math,71,0,"[294, 305]","[294, 315]","[0.696, 0.6]","[0.684, 0.5]",1.24,True
ACS,Math,81,0,[1543],[1543],[0.459],[0.6],1.059,False
TBar,Chart,3,0,[564],[564],[0.9],[0.632],1.532,False
TBar,Chart,4,0,"[4493, 4503]","[4493, 4504]","[0.619, 0.6]","[0.647, 0.583]",1.224,True
SketchFix,Math,70,1,[72],[72],[0.826],[1.0],1.826,True
ACS,Math,35,0,"[18, 51, 65]","[18, 52, 72]","[1.0, 0.273, 0.312]","[1.0, 0.552, 0.588]",1.242,True
AVATAR,Chart,26,0,[2538],[2538],[0.786],[0.778],1.564,False
CapGen,Math,53,1,[153],[153],[0.422],[0.7],1.122,True
Kali,Closure,7,0,[395],[395],[0.714],[0.8],1.514,False
Arja,Chart,19,0,"[660, 927, 973, 164]","[660, 927, 978, 164]","[0.762, 0.8, 0.857, 0.333]","[0.72, 0.8, 0.773, 0.176]",1.305,False
TBar,Math,96,0,[258],[258],[1.0],[1.0],2.0,False
AVATAR,Math,82,0,[62],[62],[0.821],[0.909],1.73,False
Kali,Closure,120,0,[1459],[1459],[0.714],[0.75],1.464,False
Nopol,Math,4,0,[200],[200],[0.179],[0.333],0.512,False
Cardumen,Chart,13,0,[152],[152],[0.543],[0.686],1.229,False
Kali,Closure,125,0,[202],[202],[0.833],[0.875],1.708,False
GenProg,Closure,129,0,[1546],[1546],[0.92],[0.905],1.825,False
SketchFix,Lang,6,2,[95],[95],[0.75],[0.842],1.592,False
DynaMoth,Chart,15,0,[1219],[1219],[0.778],[0.75],1.528,False
SimFix,Chart,7,0,[300],[300],[1.0],[0.879],1.879,True
RSRepair,Math,40,0,[257],[257],[0.333],[0.0],0.333,False
Jaid,Chart,1,3,[1798],[1798],[0.553],[0.564],1.117,False
kPAR,Math,7,0,[127],[127],[1.0],[0.889],1.889,False
FixMiner,Math,81,0,[1537],[1537],[1.0],[0.905],1.905,False
AVATAR,Math,49,0,[132],[132],[1.0],[0.931],1.931,False
Nopol,Math,18,0,[514],[514],[0.471],[0.45],0.921,False
DynaMoth,Math,85,0,"[199, 206]","[199, 207]","[0.375, 1.0]","[0.767, 1.0]",1.571,False
TBar,Chart,24,0,[126],[126],[1.0],[0.933],1.933,True
Kali,Math,80,0,[1138],[1138],[0.837],[0.759],1.596,False
jMutRepair,Math,80,0,[1133],[1133],[0.306],[0.846],1.152,False
DynaMoth,Chart,5,0,[563],[563],[0.882],[0.789],1.671,False
CapGen,Lang,43,2,[420],[420],[0.769],[0.767],1.536,True
AVATAR,Chart,4,0,"[4493, 4503]","[4493, 4504]","[0.619, 0.6]","[0.647, 0.583]",1.224,True
Jaid,Closure,126,1,[141],[141],[0.65],[0.783],1.433,True
SequenceR,Math,85,6,[198],[198],[0.429],[0.889],1.318,False
Nopol,Chart,9,0,[883],[883],[0.212],[0.558],0.77,False
AVATAR,Lang,20,0,[3298],[3298],[0.388],[0.516],0.904,False
Jaid,Lang,45,1,[610],[610],[0.207],[0.381],0.588,False
GenProg,Closure,21,0,[117],[117],[0.175],[0.352],0.527,False
CapGen,Math,30,1,[173],[173],[1.0],[0.889],1.889,True
kPAR,Time,17,0,[1168],[1168],[1.0],[0.833],1.833,False
Arja,Closure,78,0,"[54, 658, 763]","[54, 658, 763]","[0.767, 0.714, 0.6]","[0.696, 0.778, 0.462]",1.339,False
kPAR,Math,50,0,[188],[188],[1.0],[0.9],1.9,False
Arja,Chart,15,0,"[2050, 2613, 694]","[2050, 2613, 694]","[0.714, 0.9, 1.0]","[0.825, 0.92, 1.0]",1.786,False
Jaid,Chart,9,1,[944],[944],[0.208],[0.24],0.448,False
Nopol,Chart,13,0,"[444, 452]","[444, 453]","[0.744, 0.844]","[0.679, 0.667]",1.467,False
FixMiner,Math,22,0,[275],[275],[1.0],[0.8],1.8,True
jKali,Closure,45,0,[735],[735],[0.452],[0.629],1.081,False
TBar,Chart,26,0,[2536],[2536],[1.0],[0.938],1.938,False
SimFix,Math,82,0,[62],[62],[0.818],[0.86],1.678,False
kPAR,Lang,53,0,[664],[664],[0.318],[0.5],0.818,False
TBar,Math,57,0,[175],[175],[1.0],[0.946],1.946,True
RSRepair,Math,80,0,[1136],[1136],[0.039],[0.091],0.13,False
jGenProg,Math,70,0,[72],[72],[0.826],[1.0],1.826,True
AVATAR,Lang,57,0,[223],[223],[1.0],[0.867],1.867,True
Arja,Chart,7,0,[317],[317],[0.769],[0.875],1.644,False
SequenceR,Closure,93,2,[789],[789],[1.0],[0.636],1.636,False
Jaid,Math,80,2,[1136],[1136],[0.0],[0.0],0.0,False
Arja,Math,40,0,[264],[264],[0.5],[0.188],0.688,False
Arja,Math,85,0,[199],[199],[0.0],[0.023],0.023,False
SimFix,Lang,9,0,[144],[144],[0.571],[0.738],1.309,False
CapGen,Math,33,1,[338],[338],[1.0],[0.865],1.865,True
ACS,Math,73,0,[137],[137],[0.562],[0.714],1.276,False
SequenceR,Closure,93,9,[789],[789],[1.0],[0.636],1.636,False
GenProg,Closure,114,0,"[1610, 120]","[1610, 120]","[0.368, 0.857]","[0.25, 0.758]",1.116,False
SketchFix,Math,70,2,"[72, 91]","[72, 91]","[0.826, 0.75]","[1.0, 0.815]",1.696,False
Arja,Chart,12,0,[148],[148],[0.778],[0.8],1.578,True
SimFix,Closure,26,0,[478],[478],[0.711],[0.744],1.455,False
kPAR,Math,81,0,[1537],[1537],[1.0],[0.905],1.905,False
RSRepair,Math,84,0,"[66, 90]","[66, 91]","[0.263, 0.375]","[0.269, 0.667]",0.787,False
jMutRepair,Math,82,0,[82],[82],[1.0],[0.96],1.96,True
SOFix,Chart,4,1,"[4492, 4503]","[4492, 4503]","[0.8, 0.6]","[0.833, 0.583]",1.408,True
SequenceR,Closure,92,7,[789],[789],[1.0],[0.636],1.636,False
kPAR,Math,89,0,[110],[110],[0.522],[0.44],0.962,True
TBar,Math,70,0,[72],[72],[0.826],[1.0],1.826,True
Cardumen,Math,95,0,[145],[145],[0.455],[0.625],1.08,False
SequenceR,Closure,92,4,[789],[789],[1.0],[0.889],1.889,False
TBar,Lang,24,0,[1395],[1395],[0.333],[0.611],0.944,False
Kali,Closure,75,0,[332],[332],[0.088],[0.05],0.138,False
CapGen,Math,57,1,[175],[175],[1.0],[0.946],1.946,True
Jaid,Chart,9,1,[944],[944],[0.481],[0.76],1.241,True
SimFix,Chart,12,0,[145],[145],[0.214],[0.375],0.589,False
SequenceR,Closure,93,8,[789],[789],[0.467],[1.0],1.467,False
TBar,Math,11,0,[183],[183],[0.824],[0.903],1.727,True
AVATAR,Lang,59,0,[880],[880],[1.0],[0.933],1.933,False
Jaid,Math,53,2,[152],[152],[0.355],[0.515],0.87,True
Kali,Chart,15,0,[280],[280],[0.882],[0.846],1.728,False
SimFix,Closure,107,0,[852],[852],[0.433],[0.333],0.766,False
kPAR,Math,104,0,[162],[162],[1.0],[0.917],1.917,False
AVATAR,Math,78,0,[269],[269],[1.0],[1.0],2.0,False
ACS,Math,25,0,[327],[327],[0.562],[0.632],1.194,True
AVATAR,Math,88,0,[338],[338],[1.0],[0.941],1.941,False
CapGen,Math,5,1,[345],[345],[0.303],[0.591],0.894,False
ACS,Math,90,0,[133],[133],[0.585],[0.804],1.389,True
SequenceR,Math,58,1,[121],[121],[0.667],[0.81],1.477,True
SequenceR,Math,85,14,[198],[198],[0.417],[0.816],1.233,False
TBar,Chart,19,0,"[698, 973]","[698, 976]","[0.579, 0.632]","[0.552, 0.586]",1.174,True
CapGen,Lang,43,1,[422],[422],[0.838],[0.694],1.532,False
CapGen,Math,63,7,[417],[417],[0.523],[0.652],1.175,False
CapGen,Lang,57,2,[223],[223],[0.312],[0.56],0.872,True
SimFix,Math,69,0,[166],[166],[0.878],[0.815],1.693,False
AVATAR,Chart,14,0,[2293],[2293],[0.704],[0.897],1.601,False
kPAR,Chart,17,0,[879],[879],[0.4],[0.793],1.193,False
Nopol,Chart,21,0,[335],[335],[0.316],[0.516],0.832,False
Jaid,Lang,33,2,[910],[910],[0.62],[0.739],1.359,True
FixMiner,Chart,14,0,[2293],[2293],[0.444],[0.5],0.944,False
CapGen,Lang,57,1,[223],[223],[0.36],[0.619],0.979,True
jGenProg,Math,8,0,[190],[190],[0.882],[0.889],1.771,False
RSRepair,Closure,115,0,[702],[702],[0.613],[0.486],1.099,True
Arja,Closure,121,0,[85],[85],[0.641],[0.697],1.338,False
